pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	3<chiso range<9 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	3<chiso range<10 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	3<chiso range<11 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	3<chiso range<12 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	3<chiso range<13 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	4<chiso range<9 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	4<chiso range<10 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	4<chiso range<11 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	4<chiso range<12 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	4<chiso range<13 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	5<chiso range<10 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	5<chiso range<11 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	5<chiso range<12 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	5<chiso range<13 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	6<chiso range<11 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	6<chiso range<12 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	6<chiso range<13 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	7<chiso range<12 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	7<chiso range<13 	33.6466	1.13443e-299	6.95254e-310	inf
20  <pt<25 	8<chiso range<13 	33.6466	1.13443e-299	6.95254e-310	inf
#######################################################################################
25  <pt<30 	3<chiso range<8 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	3<chiso range<9 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	3<chiso range<10 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	3<chiso range<11 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	3<chiso range<12 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	3<chiso range<13 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	4<chiso range<9 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	4<chiso range<10 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	4<chiso range<11 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	4<chiso range<12 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	4<chiso range<13 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	5<chiso range<10 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	5<chiso range<11 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	5<chiso range<12 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	5<chiso range<13 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	6<chiso range<11 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	6<chiso range<12 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	6<chiso range<13 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	7<chiso range<12 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	7<chiso range<13 	22.5829	1.13443e-299	6.95254e-310	inf
25  <pt<30 	8<chiso range<13 	22.5829	1.13443e-299	6.95254e-310	inf
#######################################################################################
30  <pt<40 	3<chiso range<8 	26.7286	1.13443e-299	6.95254e-310	inf
30  <pt<40 	3<chiso range<9 	26.7286	1.13443e-299	6.95254e-310	inf
30  <pt<40 	3<chiso range<10 	26.7286	1.13443e-299	6.95254e-310	inf
30  <pt<40 	3<chiso range<11 	26.7286	1.13443e-299	6.95254e-310	inf
